V001|51A-100.10|C001
V002|52B-107.13|C002
V003|53C-114.16|C003
V004|54D-121.19|C004
V005|55E-128.22|C005
V006|56F-135.25|C006
V007|57G-142.28|C007
V008|58H-149.31|C008
V009|59I-156.34|C009
V010|60J-163.37|C010
V011|61K-170.40|C011
V012|62L-177.43|C012
V013|63M-184.46|C013
V014|51N-191.49|C014
V015|52O-198.52|C015
V016|53P-205.55|C016
V017|54Q-212.58|C017
V018|55R-219.61|C018
V019|56S-226.64|C019
V020|57T-233.67|C020
V021|58A-240.70|C021
V022|59B-247.73|C022
V023|60C-254.76|C023
V024|61D-261.79|C024
V025|62E-268.82|C025
V026|63F-275.85|C026
V027|51G-282.88|C027
V028|52H-289.91|C028
V029|53I-296.94|C029
V030|54J-303.97|C030
